Metric,Value
route__vias__multicut,0
design__instance__count__class:antenna_cell,6
design__instance__area__class:antenna_cell,32.6592
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,1051.96
design__instance__count__class:fill_cell,21579
design__instance__area__class:fill_cell,178524
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,69
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,69
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,69
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,69
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19134
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.1996
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00865854
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0078655
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000355457
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0078655
design_powergrid__voltage__worst,0.0078655
design_powergrid__voltage__worst__net:VPWR,1.19134
design_powergrid__drop__worst,0.00865854
design_powergrid__drop__worst__net:VPWR,0.00865854
design_powergrid__voltage__worst__net:VGND,0.0078655
design_powergrid__drop__worst__net:VGND,0.0078655
ir__voltage__worst,1.189999999999999946709294817992486059665679931640625
ir__drop__avg,0.00039700000000000000045796699765787707292474806308746337890625
ir__drop__worst,0.00865999999999999929556349087533817510120570659637451171875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
